source,start,end,rows,fetched_at
VIIRS_SNPP_SP,2015-05-19,2015-05-23,153,2026-08-24T13:33:57+00:00
VIIRS_SNPP_SP,2015-05-24,2015-05-28,138,2026-08-24T13:33:57+00:00
VIIRS_SNPP_SP,2015-05-29,2015-06-02,103,2026-08-24T13:33:58+00:00
VIIRS_SNPP_SP,2015-06-03,2015-06-07,251,2026-08-24T13:33:58+00:00
VIIRS_SNPP_SP,2015-06-08,2015-06-12,303,2026-08-24T13:33:59+00:00
VIIRS_SNPP_SP,2015-06-13,2015-06-17,89,2026-08-24T13:34:00+00:00
VIIRS_SNPP_SP,2015-06-18,2015-06-22,108,2026-08-24T13:34:01+00:00
VIIRS_SNPP_SP,2015-06-23,2015-06-27,152,2026-08-24T13:34:02+00:00
VIIRS_SNPP_SP,2015-06-28,2015-07-02,225,2026-08-24T13:34:03+00:00
VIIRS_SNPP_SP,2015-07-03,2015-07-07,192,2026-08-24T13:34:03+00:00
VIIRS_SNPP_SP,2015-07-08,2015-07-12,129,2026-08-24T13:34:04+00:00
VIIRS_SNPP_SP,2015-07-13,2015-07-17,129,2026-08-24T13:34:05+00:00
VIIRS_SNPP_SP,2015-07-18,2015-07-22,145,2026-08-24T13:34:05+00:00
VIIRS_SNPP_SP,2015-07-23,2015-07-27,98,2026-08-24T13:34:06+00:00
VIIRS_SNPP_SP,2015-07-28,2015-08-01,139,2026-08-24T13:34:07+00:00
VIIRS_SNPP_SP,2015-08-02,2015-08-06,114,2026-08-24T13:34:07+00:00
VIIRS_SNPP_SP,2015-08-07,2015-08-11,221,2026-08-24T13:34:09+00:00
VIIRS_SNPP_SP,2015-08-12,2015-08-16,209,2026-08-24T13:34:09+00:00
VIIRS_SNPP_SP,2015-08-17,2015-08-21,137,2026-08-24T13:34:10+00:00
VIIRS_SNPP_SP,2015-08-22,2015-08-26,181,2026-08-24T13:34:11+00:00
VIIRS_SNPP_SP,2015-08-27,2015-08-31,198,2026-08-24T13:34:12+00:00
VIIRS_SNPP_SP,2015-09-01,2015-09-05,95,2026-08-24T13:34:12+00:00
VIIRS_SNPP_SP,2015-09-06,2015-09-10,260,2026-08-24T13:34:13+00:00
VIIRS_SNPP_SP,2015-09-11,2015-09-15,138,2026-08-24T13:34:14+00:00
VIIRS_SNPP_SP,2015-09-16,2015-09-20,122,2026-08-24T13:34:15+00:00
VIIRS_SNPP_SP,2015-09-21,2015-09-25,136,2026-08-24T13:34:16+00:00
VIIRS_SNPP_SP,2015-09-26,2015-09-30,290,2026-08-24T13:34:16+00:00
VIIRS_SNPP_SP,2015-10-01,2015-10-05,343,2026-08-24T13:34:17+00:00
VIIRS_SNPP_SP,2015-10-06,2015-10-10,116,2026-08-24T13:34:18+00:00
VIIRS_SNPP_SP,2015-10-11,2015-10-15,142,2026-08-24T13:34:18+00:00
VIIRS_SNPP_SP,2015-10-16,2015-10-20,84,2026-08-24T13:34:19+00:00
VIIRS_SNPP_SP,2015-10-21,2015-10-25,91,2026-08-24T13:34:19+00:00
VIIRS_SNPP_SP,2015-10-26,2015-10-30,51,2026-08-24T13:34:20+00:00
VIIRS_SNPP_SP,2015-10-31,2015-11-04,184,2026-08-24T13:34:21+00:00
VIIRS_SNPP_SP,2015-11-05,2015-11-09,168,2026-08-24T13:34:21+00:00
VIIRS_SNPP_SP,2015-11-10,2015-11-14,105,2026-08-24T13:34:22+00:00
VIIRS_SNPP_SP,2015-11-15,2015-11-19,75,2026-08-24T13:34:23+00:00
VIIRS_SNPP_SP,2015-11-20,2015-11-24,120,2026-08-24T13:34:24+00:00
VIIRS_SNPP_SP,2015-11-25,2015-11-29,109,2026-08-24T13:34:24+00:00
VIIRS_SNPP_SP,2015-11-30,2015-12-04,91,2026-08-24T13:34:25+00:00
VIIRS_SNPP_SP,2015-12-05,2015-12-09,55,2026-08-24T13:34:25+00:00
VIIRS_SNPP_SP,2015-12-10,2015-12-14,52,2026-08-24T13:34:26+00:00
VIIRS_SNPP_SP,2015-12-15,2015-12-19,43,2026-08-24T13:34:27+00:00
VIIRS_SNPP_SP,2015-12-20,2015-12-24,105,2026-08-24T13:34:27+00:00
VIIRS_SNPP_SP,2015-12-25,2015-12-29,56,2026-08-24T13:34:28+00:00
VIIRS_SNPP_SP,2015-12-30,2016-01-03,36,2026-08-24T13:34:28+00:00
VIIRS_SNPP_SP,2016-01-04,2016-01-08,31,2026-08-24T13:34:29+00:00
VIIRS_SNPP_SP,2016-01-09,2016-01-13,68,2026-08-24T13:34:30+00:00
VIIRS_SNPP_SP,2016-01-14,2016-01-18,149,2026-08-24T13:34:30+00:00
VIIRS_SNPP_SP,2016-01-19,2016-01-23,106,2026-08-24T13:34:31+00:00
VIIRS_SNPP_SP,2016-01-24,2016-01-28,52,2026-08-24T13:34:32+00:00
